100 3
76.4513 101.428 84.2144
36.7516 16.5743 75.2554
86.55 88.6819 49.5708
92.3843 75.8395 51.1907
74.1057 95.0261 82.1911
8.65816 73.1127 84.7617
88.1772 85.9933 42.7219
92.7687 74.5842 47.7251
1.59241 22.0628 85.0608
29.5285 23.0639 66.0041
79.0438 101.692 80.5372
81.1374 90.9121 48.9253
87.6666 84.3811 52.0956
27.1766 13.558 9.00538
74.3613 48.281 40.1578
10.6282 63.3191 86.138
79.4354 57.7613 36.8867
90.4019 88.1284 43.3929
12.115 17.4173 74.9087
72.1862 95.9985 82.5195
79.5886 37.7976 16.5553
77.3969 48.9758 32.8033
22.2863 34.4518 90.734
2.14453 33.5174 99.54
79.2769 43.152 41.0835
79.4312 23.1122 37.5635
6.62694 21.6704 77.2891
34.5172 21.9768 76.5162
96.8899 46.3436 32.0337
77.9525 99.0526 79.3379
16.5462 22.5752 90.1237
82.0055 40.1215 35.5511
90.8387 39.5469 19.5859
8.13008 30.1035 81.5464
41.4275 17.7547 75.1025
57.3746 61.9853 6.97038
33.4575 13.796 71.9986
33.8387 21.1932 70.6313
7.92269 34.1086 55.2329
17.2333 34.2862 60.0951
77.1996 38.3638 43.8936
93.0375 14.0922 40.8278
9.77363 27.0386 89.9366
99.9375 88.3301 49.9826
94.9087 75.4811 49.9587
89.5051 90.9521 47.2399
99.4909 39.3642 40.8763
90.0101 85.315 53.4095
86.6531 44.728 44.2134
90.2425 77.2448 43.036
26.1302 14.3035 79.5949
99.4022 0.16638 16.5129
35.638 17.3675 73.3692
44.4424 94.0219 24.3407
74.9654 98.9597 78.0435
26.7187 25.0944 69.3738
43.2534 15.0579 23.8619
35.7476 13.2971 70.3325
56.8204 55.6562 91.1427
91.392 52.1376 38.1778
78.3865 40.3686 45.874
46.6627 44.6768 19.8055
105.922 39.2651 59.2151
20.5629 9.97631 89.5631
76.7689 55.2398 90.4503
1.13237 22.9726 78.158
88.8828 85.6911 46.7785
12.7275 25.7401 87.6211
67.4043 23.3029 29.2468
77.401 90.9218 83.8879
88.2622 98.0848 14.6537
27.569 34.5134 90.7144
94.9831 40.2731 53.7126
76.5516 102.759 82.405
6.92707 32.2629 94.1802
77.9324 96.066 80.1641
80.636 94.8796 83.0792
32.6881 24.9806 77.3488
86.7831 82.2923 50.2561
14.8362 25.2057 85.6702
15.0334 34.1551 94.9466
89.669 88.5189 46.8605
6.31426 19.9676 95.7758
85.1465 7.15684 53.8447
6.08155 40.5655 102.889
16.2677 26.3086 86.1193
37.6354 21.3748 79.8857
38.5101 22.0286 70.6566
38.5274 21.04 62.094
67.4626 5.35585 13.3883
26.9752 26.497 71.9563
79.2318 100.557 80.9308
35.0789 24.6157 70.7098
50.2717 17.893 92.843
86.9308 84.366 49.6409
38.1907 4.26983 27.8911
86.7342 90.6975 46.2222
108.268 28.3799 41.6034
85.1744 83.4915 37.647
98.6357 37.0522 48.1469
